"ID","Latitude","Longitude","Year.Month.Day","Adults"
1,51.3298762383,-66.2928391516,"2013/07/26",0.00201612903225806
1,51.3298762383,-66.2928391516,"2013/07/27",0.00403225806451613
1,51.3298762383,-66.2928391516,"2013/07/28",0.00604838709677419
1,51.3298762383,-66.2928391516,"2013/07/29",0.00806451612903226
1,51.3298762383,-66.2928391516,"2013/07/30",0.0141129032258065
1,51.3298762383,-66.2928391516,"2013/07/31",0.0181451612903226
1,51.3298762383,-66.2928391516,"2013/08/01",0.0262096774193548
1,51.3298762383,-66.2928391516,"2013/08/02",0.0342741935483871
1,51.3298762383,-66.2928391516,"2013/08/03",0.0423387096774194
1,51.3298762383,-66.2928391516,"2013/08/04",0.0423387096774194
1,51.3298762383,-66.2928391516,"2013/08/05",0.0463709677419355
1,51.3298762383,-66.2928391516,"2013/08/06",0.0423387096774194
1,51.3298762383,-66.2928391516,"2013/08/07",0.0443548387096774
1,51.3298762383,-66.2928391516,"2013/08/08",0.0423387096774194
1,51.3298762383,-66.2928391516,"2013/08/09",0.0423387096774194
1,51.3298762383,-66.2928391516,"2013/08/10",0.0443548387096774
1,51.3298762383,-66.2928391516,"2013/08/11",0.0443548387096774
1,51.3298762383,-66.2928391516,"2013/08/12",0.0443548387096774
1,51.3298762383,-66.2928391516,"2013/08/13",0.0423387096774194
1,51.3298762383,-66.2928391516,"2013/08/14",0.0403225806451613
1,51.3298762383,-66.2928391516,"2013/08/15",0.0383064516129032
1,51.3298762383,-66.2928391516,"2013/08/16",0.030241935483871
1,51.3298762383,-66.2928391516,"2013/08/17",0.032258064516129
1,51.3298762383,-66.2928391516,"2013/08/18",0.032258064516129
1,51.3298762383,-66.2928391516,"2013/08/19",0.032258064516129
1,51.3298762383,-66.2928391516,"2013/08/20",0.030241935483871
1,51.3298762383,-66.2928391516,"2013/08/21",0.0282258064516129
1,51.3298762383,-66.2928391516,"2013/08/22",0.0241935483870968
1,51.3298762383,-66.2928391516,"2013/08/23",0.0201612903225806
1,51.3298762383,-66.2928391516,"2013/08/24",0.0201612903225806
1,51.3298762383,-66.2928391516,"2013/08/25",0.0100806451612903
1,51.3298762383,-66.2928391516,"2013/08/26",0.00604838709677419
1,51.3298762383,-66.2928391516,"2013/08/27",0.00604838709677419
1,51.3298762383,-66.2928391516,"2013/08/28",0.00604838709677419
1,51.3298762383,-66.2928391516,"2013/08/29",0.00604838709677419
1,51.3298762383,-66.2928391516,"2013/08/30",0.00604838709677419
1,51.3298762383,-66.2928391516,"2013/08/31",0.00403225806451613
1,51.3298762383,-66.2928391516,"2013/09/01",0.00403225806451613
1,51.3298762383,-66.2928391516,"2013/09/02",0.00403225806451613
1,51.3298762383,-66.2928391516,"2013/09/03",0.00403225806451613
1,51.3298762383,-66.2928391516,"2013/09/04",0.00403225806451613
1,51.3298762383,-66.2928391516,"2013/09/05",0.00403225806451613
1,51.3298762383,-66.2928391516,"2013/09/06",0.00403225806451613
1,51.3298762383,-66.2928391516,"2013/09/07",0.00403225806451613
1,51.3298762383,-66.2928391516,"2013/09/08",0.00201612903225806
1,51.3298762383,-66.2928391516,"2013/09/09",0.00201612903225806
1,51.3298762383,-66.2928391516,"2013/09/10",0.00201612903225806
1,51.3298762383,-66.2928391516,"2013/09/11",0.00201612903225806
2,51.243265727,-66.4413384871,"2013/07/27",0.00189393939393939
2,51.243265727,-66.4413384871,"2013/07/28",0.00378787878787879
2,51.243265727,-66.4413384871,"2013/07/29",0.00757575757575758
2,51.243265727,-66.4413384871,"2013/07/30",0.0170454545454545
2,51.243265727,-66.4413384871,"2013/07/31",0.0265151515151515
2,51.243265727,-66.4413384871,"2013/08/01",0.0303030303030303
2,51.243265727,-66.4413384871,"2013/08/02",0.0340909090909091
2,51.243265727,-66.4413384871,"2013/08/03",0.0416666666666667
2,51.243265727,-66.4413384871,"2013/08/04",0.0454545454545455
2,51.243265727,-66.4413384871,"2013/08/05",0.0492424242424242
2,51.243265727,-66.4413384871,"2013/08/06",0.0549242424242424
2,51.243265727,-66.4413384871,"2013/08/07",0.0511363636363636
2,51.243265727,-66.4413384871,"2013/08/08",0.0492424242424242
2,51.243265727,-66.4413384871,"2013/08/09",0.0473484848484848
2,51.243265727,-66.4413384871,"2013/08/10",0.0454545454545455
2,51.243265727,-66.4413384871,"2013/08/11",0.0454545454545455
2,51.243265727,-66.4413384871,"2013/08/12",0.0454545454545455
2,51.243265727,-66.4413384871,"2013/08/13",0.0416666666666667
2,51.243265727,-66.4413384871,"2013/08/14",0.0435606060606061
2,51.243265727,-66.4413384871,"2013/08/15",0.0397727272727273
2,51.243265727,-66.4413384871,"2013/08/16",0.0378787878787879
2,51.243265727,-66.4413384871,"2013/08/17",0.0378787878787879
2,51.243265727,-66.4413384871,"2013/08/18",0.0359848484848485
2,51.243265727,-66.4413384871,"2013/08/19",0.0340909090909091
2,51.243265727,-66.4413384871,"2013/08/20",0.0321969696969697
2,51.243265727,-66.4413384871,"2013/08/21",0.0265151515151515
2,51.243265727,-66.4413384871,"2013/08/22",0.0189393939393939
2,51.243265727,-66.4413384871,"2013/08/23",0.0170454545454545
2,51.243265727,-66.4413384871,"2013/08/24",0.00946969696969697
2,51.243265727,-66.4413384871,"2013/08/25",0.00946969696969697
2,51.243265727,-66.4413384871,"2013/08/26",0.00568181818181818
2,51.243265727,-66.4413384871,"2013/08/27",0.00568181818181818
2,51.243265727,-66.4413384871,"2013/08/28",0.00568181818181818
2,51.243265727,-66.4413384871,"2013/08/29",0.00189393939393939
